시도,구군,시설명,소재지,시설용량,물리적,생물학적,고도,유입하수량,물리적 유입하수량,생물학적 유입하수량,고도 유입하수량,방류량,물리적 방류량,생물학적 방류량,고도 방류량,유입 BOD,방류 BOD,유입 COD,방류 COD,유입 SS,방류 SS,유입 T-N,방류 T-N,유입 T-P,방류 T-P,유입 총대장균군수,방류 총대장균군수,처리효율,처리부하량,처리방법,적용신기술,연계처리량_분뇨,연계처리량_축산,연계처리량_침출수,연계처리량_기타,준공일,가동개시일,사업비(백만원),방류수 소독방법,수계,지류,세부단위 구역,지역구분,명칭,목표수질(BOD),재생에너지 이용률,총 에너지사용량,총 전력사용량,자체 에너지사용량,하수처리량당 (CO2)배출량,운영주체,위탁업체명,위탁비용,위탁계약기간(시작),위탁계약기간(종료),중심처리시설,직원총수(명),안전사고건수
부산광역시,기장군,일광,부산광역시 기장군 일광면 해빛1로 87 ,9000,0,0,9000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DeNiPho,,0,0,0,0,2020-10-31,2021-02-01,0,염소 자외선 오존 기타,낙동강,일광천,동부경남,500톤 이상(Ⅳ지역),수영강,Ⅰb,0,0,0,0,0,공기업,부산환경공단,0,2021-02-01,2021-12-31,,0,0
부산광역시,기장군,문오성,부산광역시 기장군 칠암3길 47   부산광역시 기장군 일광면 신평리 112,1100,0,0,1100,780.2,0,0,780.2,703.4,0,0,703.4,147.7,1.9,86.3,8.6,208.6,1.6,39.929,5.929,5.143,0.231,292978,44,98.7,113.7,ASA,무내부순환단계유입 2단 질소인제거기술,0,0,0,0,2012-01-31,2012-05-01,19800,자외선 ,낙동강,낙동강,동부경남,500톤 이상(Ⅳ지역),수영강,Ⅰb,0,85.6,373889,0,0.667,공기업,부산환경공단,874.2,2017-01-01,2021-12-31,,5,0
부산광역시,기장군,상장안,부산광역시 기장군 장안읍 장안리 397 ,460,0,460,0,181,0,181,0,181,0,181,0,119.9,3.2,125.9,11.3,118.3,3.2,33.17,5.612,12.615,1.262,2190,116,97.3,21.1,접촉산화법,,0,0,0,0,2005-06-01,2006-12-18,0,염소 자외선 오존 기타,낙동강,장안천,동부경남,500톤 미만 50톤 이상,수영강,Ⅰb,0,19,82780,0,0.574,민간(대행),(주)한가람,51.3,2020-01-01,2020-12-31,,1,0
부산광역시,기장군,하근,부산광역시 기장군 장안읍 기용리 1067-44번지 일원 ,210,0,0,210,75.3,0,0,75.3,75.3,0,0,75.3,142.3,5.8,144.3,12.3,130.8,6,40.308,12.765,13.042,1.05,7030,403,95.9,10.3,"SEIL-BIO-SYSTEM,ASA",,0,0,0,0,2005-03-04,2005-03-04,621,염소 자외선 오존 기타,낙동강,장안천,동부경남,500톤 미만 50톤 이상,수영강,Ⅰb,0,16.7,72977,0,1.217,민간(대행),(주)영동엔지니어링,50.6,2020-01-01,2020-12-31,,1,0
부산광역시,기장군,기룡,부산광역시 기장군 장안읍 기룡리 1067-7번지 ,160,0,0,160,65.2,0,0,65.2,65.2,0,0,65.2,142.9,5.9,144.3,12.1,134.2,6.1,39.723,13.225,12.899,1.08,7098,406,95.9,8.9,CNR,,0,0,0,0,2006-12-18,2006-12-18,1335,염소 오존 기타,낙동강,장안천,동부경남,500톤 미만 50톤 이상,수영강,Ⅰb,0,11.2,48752,0,0.938,민간(대행),(주)영동엔지니어링,50.6,2020-01-01,2020-12-31,,1,0
부산광역시,기장군,산수곡,부산광역시 기장군 일광면 용천리 91-9 ,100,0,0,100,95.9,0,0,95.9,95.9,0,0,95.9,119.8,3.1,125.4,11.6,116.7,3.3,33.913,5.665,13.263,1.298,2204,125,97.4,11.2,ASA,,0,0,0,0,2009-09-01,2009-09-01,0,염소 자외선 오존 기타,낙동강,일광천,동부경남,500톤 미만 50톤 이상,수영강,Ⅰb,0,5.6,24297,0,0.318,민간(대행),(주)한가람,51.3,2020-01-01,2020-12-31,,1,0
부산광역시,기장군,도야,부산광역시 기장군 장안읍 명례리 산61-8 ,90,0,0,90,62,0,0,62,62,0,0,62,141.7,5.8,143.2,12.4,130.3,5.9,40.166,12.943,13.166,1.127,7034,417,95.9,8.4,VFT,,0,0,0,0,2009-09-01,2009-09-01,1662,염소 자외선 오존 기타,낙동강,장안천,동부경남,500톤 미만 50톤 이상,수영강,Ⅰb,0,14,61212,0,1.24,민간(대행),(주)영동엔지니어링,50.6,2020-01-01,2020-12-31,,1,0
부산광역시,기장군,광산,부산광역시 기장군 일광면 원리 351-1번지 ,70,0,0,70,60,0,0,60,60,0,0,60,140.5,5.7,143.9,12.5,131.6,6,40.469,13.044,13.045,1.1,7055,410,95.9,8.1,CNR,,0,0,0,0,2006-12-18,2006-12-18,1456,염소 자외선 오존 기타,낙동강,좌광천,동부경남,500톤 미만 50톤 이상,수영강,Ⅰb,0,7.7,33742,0,0.706,민간(대행),(주)영동엔지니어링,50.6,2020-01-01,2020-12-31,,1,0
부산광역시,기장군,동서,부산광역시 기장군 만화리 287-1 ,70,0,0,70,52.9,0,0,52.9,52.9,0,0,52.9,142.3,5.8,142.8,12.3,130.6,6,40.519,13.212,13.69,1.208,7064,418,95.9,7.2,SMMIAR,,0,0,0,0,2009-09-01,2009-09-01,1456,염소 자외선 오존 기타,낙동강,좌광천,동부경남,500톤 미만 50톤 이상,수영강,Ⅰb,0,6.4,28047,0,0.665,민간(대행),(주)영동엔지니어링,50.6,2020-01-01,2020-12-31,,1,0
부산광역시,기장군,화전,부산광역시 기장군 일광면 화전리168-4 ,70,0,0,70,61.7,0,0,61.7,61.7,0,0,61.7,121.1,3.4,125.9,11.8,119.7,3.5,34.135,6.068,13.931,1.33,2279,128,97.2,7.3,SMMIAR,,0,0,0,0,2009-09-01,2009-09-01,0,염소 자외선 오존 기타,낙동강,일광천,동부경남,500톤 미만 50톤 이상,수영강,Ⅰb,0,5.7,24987,0,0.509,민간(대행),(주)한가람,51.3,2020-01-01,2020-12-31,,1,0
