시설용량,생물학적,고도,유입하수량,생물학적 유입하수량,고도 유입하수량,방류량,생물학적 방류량,고도 방류량,유입 COD,방류 COD,유입 SS,방류 SS,유입 T-N,방류 T-N,유입 T-P,방류 T-P,유입 총대장균군수,방류 총대장균군수,처리부하량,연계처리량_분뇨,연계처리량_축산,연계처리량_침출수,연계처리량_기타,사업비(백만원),목표수질(BOD)_0,목표수질(BOD)_1,목표수질(BOD)_2,재생에너지 이용률,총 에너지사용량,총 전력사용량,자체 에너지사용량,하수처리량당 (CO2)배출량,위탁비용,직원총수(명),안전사고건수,시도_0,시도_1,시도_2,시도_3,시도_4,운영주체_0,운영주체_1,지역구분_0,지역구분_1,지역구분_2,수계_0,수계_1,수계_2,준공일_day,가동개시일_day,방류수소독방법_염소,방류수소독방법_자외선,방류수소독방법_오존,방류수소독방법_기타,처리효율
40,0,40,42.0,0.0,42.0,42.0,0.0,42.0,52.4,10.5,81.0,4.5,35.266,10.94,3.839,1.099,11717,110,2.7,0.0,0.0,0.0,0.0,310.0,0,1,1,0.0,4.6,20224.0,0.0,0.604,0.0,0,0,0,1,1,0,1,1,0,1,0,1,1,0,1,6574,6574,1,1,1,1,92.6
4000,0,4000,3932.5,0.0,3932.5,2406.4,0.0,2406.4,77.3,8.7,129.8,3.1,28.148000000000003,6.589,2.824,0.184,24949,26,441.7,2.1,0.0,0.0,0.0,23762.0,0,1,1,0.0,520.6,2273255.0,0.0,1.186,1069.0,13,0,0,1,1,1,0,1,0,0,1,0,0,1,1,6496,6483,0,1,0,0,97.5
25,0,25,21.9,0.0,21.9,21.9,0.0,21.9,52.0,5.1,54.9,1.6,29.047,10.34,2.875,1.167,24333,17,1.4,0.0,0.0,0.0,0.0,762.0,1,0,1,0.0,7.4,32278.0,0.0,1.852,7.0,15,0,0,1,0,1,1,1,0,1,0,1,0,0,1,4853,4853,1,1,1,1,97.6
2700,0,2700,2078.1,0.0,2078.1,1866.4,0.0,1866.4,148.3,7.5,206.8,1.8,59.331,7.577999999999999,6.345,0.021,65891,6,552.2,0.0,147.9,0.0,0.0,26113.0,0,0,1,7.6,198.5,801413.0,15.0,0.539,0.0,0,0,0,1,1,1,1,1,0,0,1,1,0,1,0,3563,3652,0,1,0,0,99.7
260,0,260,59.7,0.0,59.7,59.7,0.0,59.7,66.9,7.3,94.4,5.0,27.246,10.693,3.05,0.5539999999999999,101808,118,5.2,0.0,0.0,0.0,0.0,0.0,1,0,0,0.0,27.1,118555.0,0.0,2.4930000000000003,26.1,0,0,0,1,1,0,0,1,0,1,0,0,1,0,0,2709,2709,1,1,1,1,94.3
800,0,800,572.4,0.0,572.4,522.3,0.0,522.3,100.5,8.6,159.0,1.5,39.337,4.874,3.948,0.07,127295,25,81.0,0.0,0.0,0.0,0.0,17971.0,1,0,1,0.0,51.4,224533.0,0.0,0.54,0.0,0,0,0,1,1,1,1,1,0,0,0,1,0,1,0,3749,3749,0,1,0,0,99.0
13000,0,13000,8879.3,0.0,8879.3,7930.5,0.0,7930.5,105.7,11.6,201.3,2.9,43.895,9.445,5.839,0.5429999999999999,422355,159,1945.3,17.1,0.0,28.4,0.0,35290.0,1,0,1,10.9,383.3,1491150.0,41.8,0.236,2014.5,21,0,0,1,1,1,1,1,0,0,1,0,0,1,0,7044,7106,0,1,0,0,99.0
500,0,500,356.7,0.0,356.7,295.5,0.0,295.5,85.2,6.5,176.2,3.3,34.815,8.874,4.482,0.0559999999999999,90917,32,53.2,0.0,0.0,0.0,0.0,5667.9,0,1,1,0.0,44.6,194976.0,0.0,0.828,0.0,0,0,0,1,0,0,1,1,0,1,1,0,0,0,1,8105,8104,1,1,0,0,98.4
30,0,30,12.5,0.0,12.5,12.5,0.0,12.5,90.9,10.6,105.1,5.3,41.917,9.245,5.048,0.985,32000,22,1.7,0.0,0.0,0.0,0.0,405.0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,5935,5935,1,1,1,1,96.2
50,0,50,51.2,0.0,51.2,51.2,0.0,51.2,54.6,5.1,67.6,1.3,36.04,10.42,3.258,0.893,26151,212,3.8,0.0,0.0,0.0,0.0,1486.0,0,1,0,0.0,1.4,6331.0,0.0,0.155,0.0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,3227,3226,1,1,1,1,97.1
