,시설용량,생물학적,고도,유입하수량,생물학적 유입하수량,고도 유입하수량,방류량,생물학적 방류량,고도 방류량,유입 BOD,방류 BOD,유입 COD,방류 COD,유입 SS,방류 SS,유입 T-N,방류 T-N,유입 T-P,방류 T-P,유입 총대장균군수,방류 총대장균군수,처리부하량,연계처리량_분뇨,연계처리량_축산,연계처리량_침출수,연계처리량_기타,사업비(백만원),목표수질(BOD)_0,목표수질(BOD)_1,목표수질(BOD)_2,재생에너지 이용률,총 에너지사용량,총 전력사용량,자체 에너지사용량,하수처리량당 (CO2)배출량,위탁비용,직원총수(명),안전사고건수,시도_0,시도_1,시도_2,시도_3,시도_4,운영주체_0,운영주체_1,지역구분_0,지역구분_1,지역구분_2,수계_0,수계_1,수계_2,준공일_day,가동개시일_day,방류수소독방법_염소,방류수소독방법_자외선,방류수소독방법_오존,방류수소독방법_기타,처리효율
2705,20,0,20,9.8,0.0,9.8,9.8,0.0,9.8,135.6,3.0,84.4,9.3,67.2,1.8,37.877,8.565,4.235,0.884,47333,1063,1.3,0.0,0.0,0.0,0.0,456.0,0,1,1,0.0,1.0,4208.0,0.0,0.54,6.5,0,0,0,1,1,1,0,1,0,1,0,1,1,0,1,5510,5509,1,1,1,1,97.8
2706,8000,0,8000,5034.6,0.0,5034.6,5007.7,0.0,5007.7,151.2,2.5,133.6,7.0,159.5,2.2,48.382,5.481,4.944,0.3289999999999999,158973,8,748.3,25.3,0.0,0.0,0.0,25751.0,0,1,1,0.0,393.8,1719531.0,0.0,0.431,494.0,11,0,0,1,1,1,0,1,0,0,1,0,1,0,1,6623,6515,0,1,0,0,98.3
2707,600,0,600,316.3,0.0,316.3,316.3,0.0,316.3,74.5,6.5,48.0,5.9,145.1,6.7,30.724,10.263,4.843999999999999,1.346,19049,17,21.5,0.0,0.0,0.0,0.0,18117.0,0,1,1,0.0,83.8,366084.0,0.0,1.453,46.3,6,0,0,1,1,1,0,1,0,0,1,0,1,0,1,1280,1225,1,1,1,1,91.3
2708,550,0,550,489.9,0.0,489.9,489.9,0.0,489.9,71.0,7.7,47.2,6.8,141.4,5.7,27.229,9.371,5.162000000000001,1.279,23009,16,31.0,0.0,0.0,0.0,0.0,10437.0,0,1,1,0.0,53.5,233703.0,0.0,0.599,30.8,0,0,0,1,1,1,0,1,0,0,1,0,1,0,1,4714,3845,0,1,0,0,89.2
2709,400,0,400,238.1,0.0,238.1,237.9,0.0,237.9,75.3,5.2,109.0,12.4,90.8,4.8,60.43,13.681,5.529,1.087,14504,17,16.7,0.0,0.0,0.0,0.0,11720.0,0,1,1,0.0,32.0,139611.0,0.0,0.737,29.4,0,0,0,1,1,1,0,1,0,1,0,0,1,0,1,1889,1807,1,1,1,1,93.1
2710,220,0,220,174.0,0.0,174.0,174.0,0.0,174.0,141.0,4.2,100.2,9.0,161.2,4.9,39.787,9.157,6.272,0.7240000000000001,131423,68,23.8,0.0,0.0,0.0,0.0,7418.0,0,1,1,0.0,16.6,72556.0,0.0,0.523,16.1,0,0,0,1,1,1,0,1,0,1,0,0,1,0,1,857,843,1,1,1,1,97.0
2711,140,0,140,83.8,0.0,83.8,83.8,0.0,83.8,19.6,3.2,24.1,5.2,36.3,4.0,26.013,9.798,3.076,0.9,12219,12,1.4,0.0,0.0,0.0,0.0,477.0,0,1,1,0.0,4.9,21311.0,0.0,0.319,10.2,0,0,0,1,1,1,0,1,0,1,0,0,1,0,1,5318,5318,1,1,1,1,83.7
2712,120,0,120,79.6,0.0,79.6,79.6,0.0,79.6,46.3,5.3,57.0,9.1,56.7,5.0,30.816,7.013999999999999,3.5210000000000004,0.915,21215,23,3.3,0.0,0.0,0.0,0.0,4895.0,0,1,1,0.0,12.3,53573.0,0.0,0.845,8.8,0,0,0,1,1,1,0,1,0,1,0,0,1,0,1,5857,4557,1,1,1,1,88.6
2713,110,0,110,84.5,0.0,84.5,84.5,0.0,84.5,46.5,5.1,48.4,8.4,30.8,3.9,40.719,13.71,4.499,1.185,20377,20,3.5,0.0,0.0,0.0,0.0,2417.0,0,1,1,0.0,10.1,44223.0,0.0,0.657,8.0,0,0,0,1,1,1,0,1,0,1,0,0,1,0,1,1758,1682,1,1,1,1,89.0
2714,110,0,110,74.7,0.0,74.7,74.7,0.0,74.7,85.7,3.3,71.7,6.6,161.5,4.2,21.023000000000003,5.6160000000000005,2.833,0.73,19877,58,6.2,0.0,0.0,0.0,0.0,2536.0,0,1,1,0.0,11.1,48604.0,0.0,0.8170000000000001,8.0,0,0,0,1,1,1,0,1,0,1,0,0,1,0,1,4318,4210,1,1,1,1,96.1
2715,100,0,100,63.4,0.0,63.4,63.4,0.0,63.4,112.8,3.9,117.3,7.8,138.9,4.6,43.158,7.805,5.624,0.7759999999999999,167625,20,6.9,0.0,0.0,0.0,0.0,7418.0,0,1,1,0.0,9.8,42584.0,0.0,0.8440000000000001,7.3,0,0,0,1,1,1,0,1,0,1,0,0,1,0,1,857,843,1,1,1,1,96.5
2716,100,0,100,70.1,0.0,70.1,70.1,0.0,70.1,45.7,4.6,44.9,7.5,35.3,4.3,39.82,9.737,3.951,1.028,19492,22,2.9,0.0,0.0,0.0,0.0,1751.0,0,1,1,0.0,6.4,28083.0,0.0,0.503,7.3,0,0,0,1,1,1,0,1,0,1,0,0,1,0,1,4324,4210,1,1,1,1,89.9
2717,100,0,100,70.7,0.0,70.7,70.7,0.0,70.7,22.8,3.6,27.1,6.3,24.7,3.6,27.675,8.517999999999999,3.532,0.877,8579,17,1.4,0.0,0.0,0.0,0.0,473.0,0,1,1,0.0,7.7,33686.0,0.0,0.598,7.3,0,0,0,1,1,1,0,1,0,1,0,0,1,0,1,6555,6555,1,1,1,1,84.2
2718,75,0,75,56.6,0.0,56.6,56.6,0.0,56.6,83.9,4.3,80.3,10.3,96.1,5.5,36.116,5.497999999999999,4.918,1.0,12374,9,4.5,0.0,0.0,0.0,0.0,1554.0,0,1,1,0.0,6.9,29923.0,0.0,0.664,5.5,0,0,0,1,1,1,0,1,0,1,0,0,1,0,1,2809,2576,1,1,1,1,94.9
2719,70,0,70,55.1,0.0,55.1,55.1,0.0,55.1,55.0,6.4,52.7,9.7,70.3,7.0,40.793,9.244,4.6,0.913,14726,21,2.7,0.0,0.0,0.0,0.0,1473.0,0,1,1,0.0,6.5,28372.0,0.0,0.6459999999999999,5.1,0,0,0,1,1,1,0,1,0,1,0,0,1,0,1,4006,3872,1,1,1,1,88.4
2720,60,0,60,60.0,0.0,60.0,60.0,0.0,60.0,84.1,4.9,55.6,8.1,42.2,4.4,50.816,10.693,6.251,0.83,8508,9,4.8,0.0,0.0,0.0,0.0,275.0,0,1,1,0.0,5.2,22906.0,0.0,0.479,4.4,0,0,0,1,1,1,0,1,0,1,0,0,1,0,1,6946,6946,1,1,1,1,94.2
2721,60,0,60,40.1,0.0,40.1,40.1,0.0,40.1,45.3,4.8,55.5,8.9,34.8,4.2,32.767,11.752,3.47,0.946,23144,17,1.6,0.0,0.0,0.0,0.0,339.0,0,1,1,0.0,1.6,6909.0,0.0,0.216,4.4,0,0,0,1,1,1,0,1,0,1,0,0,1,0,1,4549,4462,1,1,1,1,89.4
2722,60,0,60,60.0,0.0,60.0,60.0,0.0,60.0,55.1,5.2,82.4,9.7,50.0,3.6,34.478,11.565,4.05,0.8290000000000001,7271,9,3.0,0.0,0.0,0.0,0.0,554.0,0,1,1,0.0,1.2,5100.0,0.0,0.107,4.4,0,0,0,1,1,1,0,1,0,1,0,0,1,0,1,5346,5346,1,1,1,1,90.6
2723,50,0,50,33.9,0.0,33.9,33.9,0.0,33.9,17.3,3.4,24.1,6.1,40.1,4.1,20.77,8.279,3.594,0.821,13446,11,0.5,0.0,0.0,0.0,0.0,351.0,0,1,1,0.0,3.2,14028.0,0.0,0.519,3.6,0,0,0,1,1,1,0,1,0,1,0,0,1,0,1,6240,6209,1,1,1,1,80.3
2724,50,0,50,50.0,0.0,50.0,50.0,0.0,50.0,76.9,4.0,49.7,7.5,40.3,3.9,35.811,9.057,3.313,1.067,14933,10,3.6,0.0,0.0,0.0,0.0,331.0,0,1,1,0.0,1.9,8477.0,0.0,0.213,3.6,0,0,0,1,1,1,0,1,0,1,0,0,1,0,1,6946,6946,1,1,1,1,94.8
2725,45,0,45,36.0,0.0,36.0,36.0,0.0,36.0,44.3,4.3,52.5,8.2,76.4,6.8,31.958,7.951,3.6010000000000004,0.753,30333,16,1.4,0.0,0.0,0.0,0.0,1441.0,0,1,1,0.0,9.8,42885.0,0.0,1.496,3.3,0,0,0,1,1,1,0,1,0,1,0,1,1,0,1,1674,1616,1,1,1,1,90.3
2726,45,0,45,32.6,0.0,32.6,32.6,0.0,32.6,38.2,3.8,44.2,6.9,41.3,3.9,34.989000000000004,11.79,4.659,1.327,11517,11,1.1,0.0,0.0,0.0,0.0,730.0,0,1,1,0.0,1.3,5812.0,0.0,0.2239999999999999,2.9,0,0,0,1,1,1,0,1,0,1,0,1,1,0,1,5293,5279,1,1,1,1,90.1
2727,40,0,40,27.5,0.0,27.5,27.5,0.0,27.5,46.8,4.8,42.4,7.3,23.0,2.7,23.668000000000003,7.042999999999999,3.01,0.648,28125,34,1.2,0.0,0.0,0.0,0.0,361.0,0,1,1,0.0,4.1,17976.0,0.0,0.8190000000000001,2.9,0,0,0,1,1,1,0,1,0,1,0,1,1,0,1,6970,6970,1,1,1,1,89.7
2728,40,0,40,27.4,0.0,27.4,27.4,0.0,27.4,44.4,5.3,55.0,10.2,46.1,5.0,38.118,9.67,4.444,1.101,24723,31,1.1,0.0,0.0,0.0,0.0,1179.0,0,1,1,0.0,8.0,34753.0,0.0,1.595,2.9,0,0,0,1,1,1,0,1,0,1,0,1,1,0,1,3978,3872,1,1,1,1,88.1
2729,40,0,40,40.0,0.0,40.0,40.0,0.0,40.0,45.5,5.8,32.8,8.6,57.6,4.2,43.994,12.155,5.897,1.36,24667,29,1.6,0.0,0.0,0.0,0.0,393.0,0,1,1,0.0,1.2,5121.0,0.0,0.161,2.9,0,0,0,1,1,1,0,1,0,1,0,1,1,0,1,8002,8002,1,1,1,1,87.3
2730,40,0,40,40.0,0.0,40.0,40.0,0.0,40.0,41.3,4.0,52.4,8.1,42.6,4.5,45.791,10.019,5.792000000000001,1.1909999999999998,16083,11,1.5,0.0,0.0,0.0,0.0,200.0,0,1,1,0.0,2.1,9359.0,0.0,0.294,2.9,0,0,0,1,1,1,0,1,0,1,0,1,1,0,1,9100,9100,1,1,1,1,90.3
