가동개시일_day,고도,고도 방류량,고도 유입하수량,목표수질(BOD)_0,목표수질(BOD)_1,목표수질(BOD)_2,방류 COD,방류 SS,방류 T-N,방류 T-P,방류 총대장균군수,방류량,방류수소독방법_기타,방류수소독방법_염소,방류수소독방법_오존,방류수소독방법_자외선,사업비(백만원),생물학적,생물학적 방류량,생물학적 유입하수량,수계_0,수계_1,수계_2,시도_0,시도_1,시도_2,시도_3,시도_4,시설용량,안전사고건수,연계처리량_기타,연계처리량_분뇨,연계처리량_축산,연계처리량_침출수,운영주체_0,운영주체_1,위탁비용,유입 COD,유입 SS,유입 T-N,유입 T-P,유입 총대장균군수,유입하수량,자체 에너지사용량,재생에너지 이용률,준공일_day,지역구분_0,지역구분_1,지역구분_2,직원총수(명),처리부하량,총 에너지사용량,총 전력사용량,하수처리량당 (CO2)배출량
3234,50,24.4,24.4,1,0,1,7.9,2.1,14.013,1.32,35,24.4,1,1,1,1,1425.0,0,0.0,0.0,0,0,1,0,1,0,1,1,50,0,0.0,0.0,0.0,0.0,1,0,14.0,92.7,164.3,47.082,5.0360000000000005,85250,24.4,0.0,0.0,3234,1,0,0,15,3.5,14.2,62095.0,3.19
8094,20,12.3,12.3,0,1,1,20.7,5.0,17.973,1.5830000000000002,187,12.3,1,1,1,1,100.0,0,0.0,0.0,1,0,1,0,1,1,1,0,20,0,0.0,0.0,0.0,0.0,0,1,0.0,119.4,120.0,38.828,5.634,75817,12.3,0.0,0.0,8094,1,0,1,0,1.6,1.0,4385.0,0.446
2970,320,234.5,234.5,1,0,1,19.3,7.6,15.904000000000002,1.525,467,234.5,1,1,1,1,4542.0,0,0.0,0.0,0,0,1,0,1,0,1,0,320,0,0.0,0.0,0.0,0.0,1,0,0.0,94.6,118.4,34.294000000000004,3.11,47000,234.5,0.0,0.0,3305,1,0,0,0,24.9,28.0,122192.0,0.654
6240,30,0.0,0.0,1,0,0,9.6,7.3,18.991,1.5590000000000002,638,12.9,1,1,1,1,200.0,0,12.9,12.9,1,0,0,0,1,1,0,0,30,0,0.0,0.0,0.0,0.0,1,0,0.0,65.3,97.8,31.53,3.2,17825,12.9,0.0,0.0,6240,1,0,1,0,1.2,5.6,24242.0,2.362
2982,60,32.2,32.2,0,1,0,5.7,4.1,9.888,1.217,389,32.2,1,1,1,1,301.0,0,0.0,0.0,0,1,0,1,0,0,0,0,60,0,0.0,0.0,0.0,0.0,1,1,10.2,75.6,160.1,41.947,5.015,306981,32.2,0.0,0.0,2982,1,0,0,0,3.6,5.1,22391.0,0.872
5959,45,35.5,35.5,0,0,1,8.1,4.0,12.75,1.473,573,35.5,1,1,1,1,499.0,0,0.0,0.0,0,1,1,0,1,1,1,0,45,0,0.0,0.0,0.0,0.0,1,0,3.3,88.2,96.7,19.388,2.416,300000,35.5,0.0,0.0,5959,1,0,1,3,4.1,1.4,6178.0,0.218
1831,50,34.7,34.7,1,0,1,12.8,3.0,11.706,1.286,169,34.7,1,1,1,1,114.0,0,0.0,0.0,0,1,0,0,1,1,1,1,50,0,0.0,0.0,0.0,0.0,1,0,9.0,108.2,100.8,23.96,4.651,39231,34.7,0.0,0.0,2166,1,0,0,0,5.7,5.8,25204.0,0.912
6356,150,138.1,139.4,0,1,1,11.2,4.4,11.317,0.985,694,138.1,1,1,1,1,510.0,0,0.0,0.0,0,1,1,0,1,1,1,0,150,0,0.0,0.0,0.0,0.0,1,0,0.0,66.5,86.0,37.652,4.006,24098,139.4,0.0,0.0,6356,1,0,0,0,13.2,13.9,60552.0,0.55
5020,40,21.0,22.0,0,1,1,11.4,5.7,17.706,1.574,818,21.0,1,1,1,1,1000.0,0,0.0,0.0,0,1,1,0,1,1,1,0,40,0,0.0,0.0,0.0,0.0,1,0,0.0,74.5,89.1,40.728,4.364,22767,22.0,0.0,0.0,5020,1,0,1,0,2.0,4.0,17580.0,1.0490000000000002
428,200,155.3,155.3,0,0,1,10.7,6.1,12.64,1.031,117,155.3,1,1,1,1,7616.0,0,0.0,0.0,1,0,0,0,1,1,0,0,200,0,0.0,0.0,0.0,0.0,1,0,26.1,121.0,118.0,37.36,3.395,104904,155.3,0.0,0.0,526,1,0,0,0,27.6,29.7,129559.0,1.047
