가동개시일_day,고도,고도 방류량,고도 유입하수량,목표수질(BOD)_0,목표수질(BOD)_1,목표수질(BOD)_2,방류 COD,방류 SS,방류 T-N,방류 T-P,방류 총대장균군수,방류량,방류수소독방법_기타,방류수소독방법_염소,방류수소독방법_오존,방류수소독방법_자외선,사업비(백만원),생물학적,생물학적 방류량,생물학적 유입하수량,수계_0,수계_1,수계_2,시도_0,시도_1,시도_2,시도_3,시도_4,시설용량,안전사고건수,연계처리량_기타,연계처리량_분뇨,연계처리량_축산,연계처리량_침출수,운영주체_0,운영주체_1,위탁비용,유입 COD,유입 SS,유입 T-N,유입 T-P,유입 총대장균군수,유입하수량,자체 에너지사용량,재생에너지 이용률,준공일_day,지역구분_0,지역구분_1,지역구분_2,직원총수(명),처리부하량,총 에너지사용량,총 전력사용량,하수처리량당 (CO2)배출량
6490,30,25.6,25.6,0,1,1,12.5,7.7,15.433,1.585,321,25.6,1,1,1,1,218.0,0,0.0,0.0,0,1,1,0,1,1,1,0,30,0,0.0,0.0,0.0,0.0,0,1,0.0,40.3,86.3,36.686,3.894,37992,25.6,0.0,0.0,6490,1,0,1,0,2.5,2.0,8638.0,0.423
6240,40,70.9,70.9,0,1,1,7.7,4.2,11.848,1.158,0,70.9,1,1,1,1,655.0,0,0.0,0.0,1,0,1,0,1,1,0,1,40,0,0.0,0.0,0.0,0.0,1,0,0.0,57.8,103.9,26.684,2.698,26083,70.9,0.0,0.0,6240,1,0,1,0,5.4,3.3,14370.0,0.254
4388,15,12.7,12.7,0,1,1,9.4,2.8,12.982,1.979,82,12.7,1,1,1,1,246.0,0,0.0,0.0,0,1,0,0,1,1,1,1,15,0,0.0,0.0,0.0,0.0,1,0,0.0,46.0,51.8,27.011,3.354,41423,12.7,0.0,0.0,4413,1,0,1,0,1.4,3.8,16630.0,1.962
101,200,125.8,127.5,0,1,1,8.1,3.9,11.796,0.981,642,125.8,1,1,1,1,10555.0,0,0.0,0.0,0,0,1,0,1,0,0,1,200,0,0.0,0.0,0.0,0.0,1,0,0.0,80.4,179.2,36.261,4.912,126222,127.5,0.0,0.0,117,1,0,0,0,19.1,7.8,34234.0,1.359
6820,30000,23409.3,26227.7,1,0,0,7.4,1.0,6.854,0.396,2,23409.3,0,0,0,1,75590.0,0,0.0,0.0,1,0,0,0,1,1,0,0,30000,0,0.0,91.2,0.0,0.0,1,0,3939.7,145.6,294.6,59.987,7.593,242434,26227.7,0.0,0.0,6820,0,1,0,25,6374.0,1362.5,5949666.0,0.319
3074,140,93.3,98.5,0,0,1,8.8,2.1,8.089,0.75,11,93.3,1,1,1,1,3.1,0,0.0,0.0,0,1,1,0,1,1,0,1,140,0,0.0,0.0,0.0,0.0,1,0,0.0,93.2,203.9,46.911,5.449,121698,98.5,0.0,0.0,3151,1,0,0,0,17.6,12.6,54841.0,0.738
1466,25,21.2,21.2,1,0,1,10.1,3.7,10.633,1.129,13,21.2,1,1,1,1,2087.0,0,0.0,0.0,1,0,0,0,1,0,1,1,25,0,0.0,0.0,0.0,0.0,1,0,5.7,81.8,169.0,40.757,3.924,157660,21.2,0.0,0.0,1484,1,0,1,0,3.6,3.8,16592.0,0.983
6696,3000,2896.6,3032.1,0,1,1,4.2,1.5,10.825,0.121,7,2896.6,1,1,1,1,15950.0,0,0.0,0.0,0,0,1,0,1,0,0,1,3000,0,0.0,0.0,0.0,0.0,1,0,1048.0,58.5,105.6,29.621,3.056,73107,3032.1,0.0,0.0,6727,0,0,1,6,377.9,250.5,1093766.0,0.477
3172,50,44.9,55.4,1,0,1,15.9,3.9,11.044,0.895,307,44.9,1,1,1,1,1814.0,0,0.0,0.0,0,0,1,0,1,0,1,0,50,0,0.0,0.0,0.0,0.0,1,0,22.7,93.4,130.7,42.54,4.056,264774,55.4,0.0,0.0,3174,1,0,0,0,5.3,10.2,44704.0,1.25
4017,45,0.0,0.0,0,0,1,7.3,5.0,13.02,0.5479999999999999,27,1.0,1,1,1,1,245.0,0,1.0,1.0,0,1,1,0,1,1,0,1,45,0,0.0,0.0,0.0,0.0,1,0,11.4,71.9,111.1,28.42,2.16,28000,1.0,0.0,0.0,4017,1,0,1,0,0.1,0.1,280.0,1.414
4836,70,11.5,11.5,1,0,1,7.5,2.1,15.605,1.283,10,11.5,1,1,1,1,400.0,0,0.0,0.0,0,0,1,0,1,0,1,0,70,0,0.0,0.0,0.0,0.0,1,0,21.1,78.6,85.7,29.799,3.314,126321,11.5,0.0,0.0,4836,1,0,0,1,1.0,15.2,66528.0,7.287000000000001
3309,110,71.1,71.1,0,1,1,8.6,4.8,6.824,0.722,35,71.1,1,1,1,1,3359.0,0,0.0,0.0,1,0,0,0,1,0,1,1,110,0,0.0,0.0,0.0,0.0,1,0,49.0,146.2,183.5,38.754,5.555,191596,71.1,0.0,0.0,3309,1,0,0,0,13.4,15.1,65819.0,1.161
6970,40,27.5,27.5,0,1,1,7.3,2.7,7.042999999999999,0.648,34,27.5,1,1,1,1,361.0,0,0.0,0.0,1,0,1,0,1,1,1,0,40,0,0.0,0.0,0.0,0.0,1,0,2.9,42.4,23.0,23.668000000000003,3.01,28125,27.5,0.0,0.0,6970,1,0,1,0,1.2,4.1,17976.0,0.8190000000000001
4262,490,490.0,490.0,1,0,1,10.2,2.6,14.252,1.213,10,490.0,1,1,1,1,1528.0,0,0.0,0.0,0,1,0,0,1,1,1,1,490,0,0.0,0.0,0.0,0.0,0,1,0.0,91.9,208.1,40.429,4.129,34055,490.0,0.0,0.0,4262,1,0,0,0,101.3,27.4,119547.0,0.306
5868,50,0.0,0.0,1,0,1,13.0,6.3,11.451,0.969,564,43.6,1,1,1,1,574.0,0,43.6,43.6,1,0,1,0,1,1,1,0,50,0,0.0,0.0,0.0,0.0,1,0,0.0,56.3,72.7,44.22,3.765,53538,43.6,0.0,0.0,5868,1,0,0,0,2.6,1.9,8372.0,0.241
4382,25,0.0,0.0,1,0,1,7.6,3.7,15.7,2.08,28,3.1,1,1,1,1,0.0,0,3.1,3.1,0,1,0,0,1,1,1,1,25,0,0.0,0.0,0.0,0.0,1,0,9.3,53.0,63.5,34.967,4.584,6825,3.1,0.0,0.0,4382,1,0,1,1,0.2,2.2,9581.0,117.376
3284,50,30.8,30.8,1,0,1,6.5,1.0,8.883,1.18,2,30.8,1,1,1,1,1385.0,0,0.0,0.0,1,0,0,0,1,0,1,1,50,0,0.0,0.0,0.0,0.0,1,0,0.0,128.4,239.0,46.20399999999999,4.623,189692,30.8,0.0,0.0,3287,1,0,0,0,6.5,12.4,53979.0,2.2
450,40,31.4,31.4,0,1,1,6.4,1.9,9.894,0.878,778,31.4,1,1,1,1,2800.0,0,0.0,0.0,1,0,1,0,1,1,1,0,40,0,0.0,0.0,0.0,0.0,1,0,12.9,121.5,100.2,32.486999999999995,4.3660000000000005,57182,31.4,0.0,0.0,451,1,0,1,0,3.1,12.3,53816.0,2.152
3247,30,30.1,30.1,1,0,1,6.2,3.1,8.033,0.782,141,30.1,1,1,1,1,134.0,0,0.0,0.0,0,0,1,0,1,0,1,0,30,0,0.0,0.0,0.0,0.0,1,0,0.0,13.7,29.7,9.625,0.904,18826,30.1,0.0,0.0,3247,1,0,1,0,0.2,3.7,16053.0,0.67
3738,75,44.2,44.2,0,1,1,15.6,4.2,13.736,1.433,168,44.2,1,1,1,1,0.0,0,0.0,0.0,1,0,1,0,1,1,1,0,75,0,0.0,0.0,0.0,0.0,0,1,0.0,103.6,114.6,26.465,3.114,90103,44.2,0.0,0.0,3738,1,0,0,0,4.9,6.6,29000.0,0.8240000000000001
8521,60,28.2,29.2,1,0,1,9.6,3.6,11.571,0.66,185,28.2,1,1,1,1,806.0,0,0.0,0.0,0,0,1,0,1,0,1,0,60,0,0.0,0.0,0.0,0.0,1,0,0.0,73.0,114.4,31.823,3.542,92132,29.2,0.0,0.0,8521,1,0,0,0,2.7,5.4,23742.0,1.056
3811,110,103.2,103.2,0,1,0,12.3,9.3,13.609000000000002,1.988,4954,103.2,1,1,1,1,933.0,0,0.0,0.0,0,1,0,1,0,0,0,0,110,0,0.0,0.0,0.0,0.0,1,0,42.0,102.0,259.0,36.058,4.541,211404,103.2,0.0,0.0,3811,1,0,0,0,16.2,1.9,8346.0,0.102
4262,450,353.8,353.8,0,1,1,10.4,4.7,7.732,0.342,351,353.8,1,1,1,1,8500.0,0,0.0,0.0,1,0,1,1,0,0,0,0,450,0,0.0,0.0,0.0,0.0,0,1,0.0,105.4,176.5,47.473,6.261,139558,353.8,0.0,0.0,4262,1,0,0,0,101.9,54.0,235961.0,0.8370000000000001
5114,0,12.3,12.3,1,0,1,10.2,3.6,16.902,1.129,47,12.3,1,1,1,1,0.0,20,0.0,0.0,1,0,0,0,1,1,0,0,20,0,0.0,0.0,0.0,0.0,1,0,5.0,79.7,127.2,32.0,3.405,94250,12.3,0.0,0.0,5114,1,0,1,6,1.8,7.7,33425.0,3.4
2375,260,153.0,153.0,1,0,0,8.3,4.1,10.826,1.352,268,153.0,1,1,1,1,8104.0,0,0.0,0.0,0,1,1,0,0,1,0,1,260,0,0.0,0.0,0.0,0.0,1,0,10.2,109.0,546.0,37.728,5.596,172408,153.0,0.0,0.0,2456,1,0,0,0,35.5,22.4,97623.0,0.8009999999999999
3897,45,70.7,70.7,1,0,0,8.8,8.2,9.67,1.4480000000000002,248,70.7,1,1,1,1,1151.0,0,0.0,0.0,0,1,1,0,0,1,0,1,45,0,0.0,0.0,0.0,0.0,1,0,22.0,138.6,426.4,40.343,10.526,132583,70.7,0.0,0.0,3897,1,0,1,1,27.4,7.9,34566.0,0.613
2759,4500,2035.0,2625.6,0,0,1,4.1,0.4,6.957000000000001,0.021,0,2035.0,1,0,0,0,161759.0,0,0.0,0.0,1,0,0,0,1,1,0,0,4500,0,0.0,0.0,0.0,0.0,1,0,562.8,105.8,208.0,53.368,5.448,199426,2625.6,0.0,0.0,2759,0,1,1,6,539.0,395.0,1725023.0,1.064
6441,80,35.3,35.3,1,0,1,6.6,6.2,10.422,0.408,190,35.3,1,1,1,1,360.0,0,0.0,0.0,0,0,1,0,1,0,0,1,80,0,0.0,0.0,0.0,0.0,1,1,41.0,89.5,173.9,26.969,3.533,69798,35.3,0.0,0.0,6441,1,0,0,4,4.3,7.1,31004.0,1.102
6333,70,7.7,7.9,1,0,1,13.2,4.5,13.140999999999998,1.209,504,7.7,1,1,1,1,85.0,0,0.0,0.0,0,0,1,0,1,0,1,0,70,0,0.0,0.0,0.0,0.0,1,0,21.5,65.9,57.8,42.805,3.914,175813,7.9,0.0,0.0,8989,1,0,0,0,0.5,2.4,10525.0,1.725
